# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 01 18 00.0 01.50  2939.00000  2939.06250  2.667   12 1
1940 01 18 03.0 04.50  2939.12500  2939.18750  2.667   12 1
1940 01 18 06.0 07.50  2939.25000  2939.31250  3.333   18 1
1940 01 18 09.0 10.50  2939.37500  2939.43750  3.667   22 1
1940 01 18 12.0 13.50  2939.50000  2939.56250  4.667   39 1
1940 01 18 15.0 16.50  2939.62500  2939.68750  6.667  111 1
1940 01 18 18.0 19.50  2939.75000  2939.81250  6.000   80 1
1940 01 18 21.0 22.50  2939.87500  2939.93750  2.667   12 1
1940 01 19 00.0 01.50  2940.00000  2940.06250  3.000   15 1
1940 01 19 03.0 04.50  2940.12500  2940.18750  1.333    5 1
1940 01 19 06.0 07.50  2940.25000  2940.31250  1.667    6 1
1940 01 19 09.0 10.50  2940.37500  2940.43750  2.000    7 1
1940 01 19 12.0 13.50  2940.50000  2940.56250  2.000    7 1
1940 01 19 15.0 16.50  2940.62500  2940.68750  2.333    9 1
1940 01 19 18.0 19.50  2940.75000  2940.81250  2.000    7 1
1940 01 19 21.0 22.50  2940.87500  2940.93750  1.667    6 1
1940 01 20 00.0 01.50  2941.00000  2941.06250  1.000    4 1
1940 01 20 03.0 04.50  2941.12500  2941.18750  2.000    7 1
1940 01 20 06.0 07.50  2941.25000  2941.31250  1.667    6 1
1940 01 20 09.0 10.50  2941.37500  2941.43750  1.333    5 1
1940 01 20 12.0 13.50  2941.50000  2941.56250  2.333    9 1
1940 01 20 15.0 16.50  2941.62500  2941.68750  2.333    9 1
1940 01 20 18.0 19.50  2941.75000  2941.81250  2.667   12 1
1940 01 20 21.0 22.50  2941.87500  2941.93750  1.333    5 1
1940 01 21 00.0 01.50  2942.00000  2942.06250  0.667    3 1
1940 01 21 03.0 04.50  2942.12500  2942.18750  0.333    2 1
1940 01 21 06.0 07.50  2942.25000  2942.31250  0.667    3 1
1940 01 21 09.0 10.50  2942.37500  2942.43750  1.000    4 1
1940 01 21 12.0 13.50  2942.50000  2942.56250  1.000    4 1
1940 01 21 15.0 16.50  2942.62500  2942.68750  1.333    5 1
1940 01 21 18.0 19.50  2942.75000  2942.81250  0.667    3 1
1940 01 21 21.0 22.50  2942.87500  2942.93750  0.333    2 1
1940 01 22 00.0 01.50  2943.00000  2943.06250  0.333    2 1
1940 01 22 03.0 04.50  2943.12500  2943.18750  1.000    4 1
1940 01 22 06.0 07.50  2943.25000  2943.31250  1.000    4 1
1940 01 22 09.0 10.50  2943.37500  2943.43750  2.000    7 1
