# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 03 25 00.0 01.50  3006.00000  3006.06250  8.667  300 1
1940 03 25 03.0 04.50  3006.12500  3006.18750  8.333  236 1
1940 03 25 06.0 07.50  3006.25000  3006.31250  8.333  236 1
1940 03 25 09.0 10.50  3006.37500  3006.43750  8.000  207 1
1940 03 25 12.0 13.50  3006.50000  3006.56250  7.000  132 1
1940 03 25 15.0 16.50  3006.62500  3006.68750  4.667   39 1
1940 03 25 18.0 19.50  3006.75000  3006.81250  6.667  111 1
1940 03 25 21.0 22.50  3006.87500  3006.93750  8.000  207 1
1940 03 26 00.0 01.50  3007.00000  3007.06250  7.333  154 1
1940 03 26 03.0 04.50  3007.12500  3007.18750  6.000   80 1
1940 03 26 06.0 07.50  3007.25000  3007.31250  4.667   39 1
1940 03 26 09.0 10.50  3007.37500  3007.43750  2.667   12 1
1940 03 26 12.0 13.50  3007.50000  3007.56250  2.333    9 1
1940 03 26 15.0 16.50  3007.62500  3007.68750  3.667   22 1
1940 03 26 18.0 19.50  3007.75000  3007.81250  6.333   94 1
1940 03 26 21.0 22.50  3007.87500  3007.93750  2.667   12 1
1940 03 27 00.0 01.50  3008.00000  3008.06250  5.333   56 1
1940 03 27 03.0 04.50  3008.12500  3008.18750  5.000   48 1
1940 03 27 06.0 07.50  3008.25000  3008.31250  3.333   18 1
1940 03 27 09.0 10.50  3008.37500  3008.43750  4.333   32 1
1940 03 27 12.0 13.50  3008.50000  3008.56250  2.667   12 1
1940 03 27 15.0 16.50  3008.62500  3008.68750  3.667   22 1
1940 03 27 18.0 19.50  3008.75000  3008.81250  3.333   18 1
1940 03 27 21.0 22.50  3008.87500  3008.93750  4.333   32 1
1940 03 28 00.0 01.50  3009.00000  3009.06250  5.333   56 1
1940 03 28 03.0 04.50  3009.12500  3009.18750  4.000   27 1
1940 03 28 06.0 07.50  3009.25000  3009.31250  3.000   15 1
1940 03 28 09.0 10.50  3009.37500  3009.43750  3.000   15 1
1940 03 28 12.0 13.50  3009.50000  3009.56250  3.000   15 1
1940 03 28 15.0 16.50  3009.62500  3009.68750  2.333    9 1
1940 03 28 18.0 19.50  3009.75000  3009.81250  3.000   15 1
1940 03 28 21.0 22.50  3009.87500  3009.93750  3.000   15 1
1940 03 29 00.0 01.50  3010.00000  3010.06250  2.667   12 1
1940 03 29 03.0 04.50  3010.12500  3010.18750  1.667    6 1
1940 03 29 06.0 07.50  3010.25000  3010.31250  2.333    9 1
1940 03 29 09.0 10.50  3010.37500  3010.43750  5.000   48 1
1940 03 29 12.0 13.50  3010.50000  3010.56250  5.000   48 1
1940 03 29 15.0 16.50  3010.62500  3010.68750  8.333  236 1
1940 03 29 18.0 19.50  3010.75000  3010.81250  8.000  207 1
1940 03 29 21.0 22.50  3010.87500  3010.93750  8.333  236 1
1940 03 30 00.0 01.50  3011.00000  3011.06250  8.667  300 1
1940 03 30 03.0 04.50  3011.12500  3011.18750  8.333  236 1
1940 03 30 06.0 07.50  3011.25000  3011.31250  8.333  236 1
1940 03 30 09.0 10.50  3011.37500  3011.43750  8.000  207 1
1940 03 30 12.0 13.50  3011.50000  3011.56250  7.333  154 1
1940 03 30 15.0 16.50  3011.62500  3011.68750  7.667  179 1
1940 03 30 18.0 19.50  3011.75000  3011.81250  7.000  132 1
1940 03 30 21.0 22.50  3011.87500  3011.93750  5.667   67 1
1940 03 31 00.0 01.50  3012.00000  3012.06250  7.000  132 1
1940 03 31 03.0 04.50  3012.12500  3012.18750  5.333   56 1
1940 03 31 06.0 07.50  3012.25000  3012.31250  4.667   39 1
1940 03 31 09.0 10.50  3012.37500  3012.43750  8.333  236 1
1940 03 31 12.0 13.50  3012.50000  3012.56250  8.000  207 1
1940 03 31 15.0 16.50  3012.62500  3012.68750  7.667  179 1
1940 03 31 18.0 19.50  3012.75000  3012.81250  6.000   80 1
1940 03 31 21.0 22.50  3012.87500  3012.93750  6.333   94 1
1940 04 01 00.0 01.50  3013.00000  3013.06250  6.667  111 1
1940 04 01 03.0 04.50  3013.12500  3013.18750  6.333   94 1
1940 04 01 06.0 07.50  3013.25000  3013.31250  5.667   67 1
1940 04 01 09.0 10.50  3013.37500  3013.43750  6.667  111 1
1940 04 01 12.0 13.50  3013.50000  3013.56250  4.333   32 1
1940 04 01 15.0 16.50  3013.62500  3013.68750  5.000   48 1
1940 04 01 18.0 19.50  3013.75000  3013.81250  4.667   39 1
1940 04 01 21.0 22.50  3013.87500  3013.93750  3.667   22 1
1940 04 02 00.0 01.50  3014.00000  3014.06250  2.333    9 1
1940 04 02 03.0 04.50  3014.12500  3014.18750  2.333    9 1
1940 04 02 06.0 07.50  3014.25000  3014.31250  2.000    7 1
1940 04 02 09.0 10.50  3014.37500  3014.43750  1.667    6 1
1940 04 02 12.0 13.50  3014.50000  3014.56250  2.000    7 1
1940 04 02 15.0 16.50  3014.62500  3014.68750  3.333   18 1
1940 04 02 18.0 19.50  3014.75000  3014.81250  7.000  132 1
1940 04 02 21.0 22.50  3014.87500  3014.93750  6.000   80 1
1940 04 03 00.0 01.50  3015.00000  3015.06250  8.000  207 1
1940 04 03 03.0 04.50  3015.12500  3015.18750  8.000  207 1
1940 04 03 06.0 07.50  3015.25000  3015.31250  7.000  132 1
1940 04 03 09.0 10.50  3015.37500  3015.43750  4.667   39 1
1940 04 03 12.0 13.50  3015.50000  3015.56250  4.667   39 1
1940 04 03 15.0 16.50  3015.62500  3015.68750  5.000   48 1
1940 04 03 18.0 19.50  3015.75000  3015.81250  6.333   94 1
1940 04 03 21.0 22.50  3015.87500  3015.93750  3.667   22 1
1940 04 04 00.0 01.50  3016.00000  3016.06250  3.333   18 1
1940 04 04 03.0 04.50  3016.12500  3016.18750  2.333    9 1
1940 04 04 06.0 07.50  3016.25000  3016.31250  3.000   15 1
1940 04 04 09.0 10.50  3016.37500  3016.43750  3.667   22 1
1940 04 04 12.0 13.50  3016.50000  3016.56250  2.667   12 1
1940 04 04 15.0 16.50  3016.62500  3016.68750  3.000   15 1
1940 04 04 18.0 19.50  3016.75000  3016.81250  3.000   15 1
1940 04 04 21.0 22.50  3016.87500  3016.93750  3.000   15 1
1940 04 05 00.0 01.50  3017.00000  3017.06250  2.667   12 1
1940 04 05 03.0 04.50  3017.12500  3017.18750  3.333   18 1
1940 04 05 06.0 07.50  3017.25000  3017.31250  2.000    7 1
1940 04 05 09.0 10.50  3017.37500  3017.43750  2.000    7 1
1940 04 05 12.0 13.50  3017.50000  3017.56250  1.000    4 1
1940 04 05 15.0 16.50  3017.62500  3017.68750  2.333    9 1
1940 04 05 18.0 19.50  3017.75000  3017.81250  2.333    9 1
1940 04 05 21.0 22.50  3017.87500  3017.93750  2.000    7 1
1940 04 06 00.0 01.50  3018.00000  3018.06250  3.333   18 1
1940 04 06 03.0 04.50  3018.12500  3018.18750  3.333   18 1
1940 04 06 06.0 07.50  3018.25000  3018.31250  2.333    9 1
1940 04 06 09.0 10.50  3018.37500  3018.43750  1.333    5 1
1940 04 06 12.0 13.50  3018.50000  3018.56250  0.667    3 1
1940 04 06 15.0 16.50  3018.62500  3018.68750  0.333    2 1
1940 04 06 18.0 19.50  3018.75000  3018.81250  2.667   12 1
1940 04 06 21.0 22.50  3018.87500  3018.93750  1.000    4 1
1940 04 07 00.0 01.50  3019.00000  3019.06250  0.667    3 1
1940 04 07 03.0 04.50  3019.12500  3019.18750  0.000    0 1
1940 04 07 06.0 07.50  3019.25000  3019.31250  0.333    2 1
1940 04 07 09.0 10.50  3019.37500  3019.43750  0.333    2 1
1940 04 07 12.0 13.50  3019.50000  3019.56250  1.000    4 1
1940 04 07 15.0 16.50  3019.62500  3019.68750  0.333    2 1
1940 04 07 18.0 19.50  3019.75000  3019.81250  1.667    6 1
1940 04 07 21.0 22.50  3019.87500  3019.93750  0.667    3 1
1940 04 08 00.0 01.50  3020.00000  3020.06250  0.333    2 1
1940 04 08 03.0 04.50  3020.12500  3020.18750  0.333    2 1
1940 04 08 06.0 07.50  3020.25000  3020.31250  1.000    4 1
1940 04 08 09.0 10.50  3020.37500  3020.43750  1.000    4 1
1940 04 08 12.0 13.50  3020.50000  3020.56250  0.667    3 1
1940 04 08 15.0 16.50  3020.62500  3020.68750  1.667    6 1
1940 04 08 18.0 19.50  3020.75000  3020.81250  0.667    3 1
1940 04 08 21.0 22.50  3020.87500  3020.93750  0.333    2 1
1940 04 09 00.0 01.50  3021.00000  3021.06250  1.000    4 1
1940 04 09 03.0 04.50  3021.12500  3021.18750  0.333    2 1
1940 04 09 06.0 07.50  3021.25000  3021.31250  0.333    2 1
1940 04 09 09.0 10.50  3021.37500  3021.43750  0.667    3 1
1940 04 09 12.0 13.50  3021.50000  3021.56250  0.333    2 1
1940 04 09 15.0 16.50  3021.62500  3021.68750  0.667    3 1
1940 04 09 18.0 19.50  3021.75000  3021.81250  0.333    2 1
1940 04 09 21.0 22.50  3021.87500  3021.93750  0.333    2 1
1940 04 10 00.0 01.50  3022.00000  3022.06250  0.667    3 1
1940 04 10 03.0 04.50  3022.12500  3022.18750  0.333    2 1
1940 04 10 06.0 07.50  3022.25000  3022.31250  0.333    2 1
1940 04 10 09.0 10.50  3022.37500  3022.43750  0.333    2 1
1940 04 10 12.0 13.50  3022.50000  3022.56250  0.333    2 1
1940 04 10 15.0 16.50  3022.62500  3022.68750  0.000    0 1
1940 04 10 18.0 19.50  3022.75000  3022.81250  0.333    2 1
1940 04 10 21.0 22.50  3022.87500  3022.93750  0.333    2 1
1940 04 11 00.0 01.50  3023.00000  3023.06250  0.333    2 1
1940 04 11 03.0 04.50  3023.12500  3023.18750  0.667    3 1
1940 04 11 06.0 07.50  3023.25000  3023.31250  0.667    3 1
1940 04 11 09.0 10.50  3023.37500  3023.43750  1.333    5 1
1940 04 11 12.0 13.50  3023.50000  3023.56250  2.333    9 1
1940 04 11 15.0 16.50  3023.62500  3023.68750  2.333    9 1
1940 04 11 18.0 19.50  3023.75000  3023.81250  0.667    3 1
1940 04 11 21.0 22.50  3023.87500  3023.93750  0.667    3 1
1940 04 12 00.0 01.50  3024.00000  3024.06250  0.667    3 1
1940 04 12 03.0 04.50  3024.12500  3024.18750  1.333    5 1
1940 04 12 06.0 07.50  3024.25000  3024.31250  1.000    4 1
1940 04 12 09.0 10.50  3024.37500  3024.43750  1.333    5 1
1940 04 12 12.0 13.50  3024.50000  3024.56250  1.000    4 1
1940 04 12 15.0 16.50  3024.62500  3024.68750  0.667    3 1
1940 04 12 18.0 19.50  3024.75000  3024.81250  0.333    2 1
1940 04 12 21.0 22.50  3024.87500  3024.93750  0.667    3 1
1940 04 13 00.0 01.50  3025.00000  3025.06250  2.333    9 1
1940 04 13 03.0 04.50  3025.12500  3025.18750  2.667   12 1
1940 04 13 06.0 07.50  3025.25000  3025.31250  2.000    7 1
1940 04 13 09.0 10.50  3025.37500  3025.43750  3.000   15 1
1940 04 13 12.0 13.50  3025.50000  3025.56250  3.333   18 1
1940 04 13 15.0 16.50  3025.62500  3025.68750  3.333   18 1
1940 04 13 18.0 19.50  3025.75000  3025.81250  1.667    6 1
1940 04 13 21.0 22.50  3025.87500  3025.93750  1.333    5 1
1940 04 14 00.0 01.50  3026.00000  3026.06250  1.667    6 1
1940 04 14 03.0 04.50  3026.12500  3026.18750  3.333   18 1
1940 04 14 06.0 07.50  3026.25000  3026.31250  3.667   22 1
1940 04 14 09.0 10.50  3026.37500  3026.43750  2.667   12 1
1940 04 14 12.0 13.50  3026.50000  3026.56250  2.000    7 1
1940 04 14 15.0 16.50  3026.62500  3026.68750  2.667   12 1
1940 04 14 18.0 19.50  3026.75000  3026.81250  1.333    5 1
1940 04 14 21.0 22.50  3026.87500  3026.93750  1.667    6 1
1940 04 15 00.0 01.50  3027.00000  3027.06250  2.000    7 1
1940 04 15 03.0 04.50  3027.12500  3027.18750  2.667   12 1
1940 04 15 06.0 07.50  3027.25000  3027.31250  2.667   12 1
1940 04 15 09.0 10.50  3027.37500  3027.43750  3.000   15 1
1940 04 15 12.0 13.50  3027.50000  3027.56250  4.000   27 1
1940 04 15 15.0 16.50  3027.62500  3027.68750  4.333   32 1
1940 04 15 18.0 19.50  3027.75000  3027.81250  3.000   15 1
1940 04 15 21.0 22.50  3027.87500  3027.93750  3.000   15 1
1940 04 16 00.0 01.50  3028.00000  3028.06250  3.333   18 1
1940 04 16 03.0 04.50  3028.12500  3028.18750  4.000   27 1
1940 04 16 06.0 07.50  3028.25000  3028.31250  3.000   15 1
1940 04 16 09.0 10.50  3028.37500  3028.43750  2.333    9 1
1940 04 16 12.0 13.50  3028.50000  3028.56250  1.667    6 1
1940 04 16 15.0 16.50  3028.62500  3028.68750  1.667    6 1
1940 04 16 18.0 19.50  3028.75000  3028.81250  3.000   15 1
1940 04 16 21.0 22.50  3028.87500  3028.93750  3.000   15 1
1940 04 17 00.0 01.50  3029.00000  3029.06250  3.000   15 1
1940 04 17 03.0 04.50  3029.12500  3029.18750  3.333   18 1
1940 04 17 06.0 07.50  3029.25000  3029.31250  2.667   12 1
1940 04 17 09.0 10.50  3029.37500  3029.43750  1.000    4 1
1940 04 17 12.0 13.50  3029.50000  3029.56250  1.000    4 1
1940 04 17 15.0 16.50  3029.62500  3029.68750  1.333    5 1
1940 04 17 18.0 19.50  3029.75000  3029.81250  1.333    5 1
1940 04 17 21.0 22.50  3029.87500  3029.93750  0.667    3 1
1940 04 18 00.0 01.50  3030.00000  3030.06250  1.333    5 1
1940 04 18 03.0 04.50  3030.12500  3030.18750  1.333    5 1
1940 04 18 06.0 07.50  3030.25000  3030.31250  1.667    6 1
1940 04 18 09.0 10.50  3030.37500  3030.43750  0.667    3 1
1940 04 18 12.0 13.50  3030.50000  3030.56250  1.000    4 1
1940 04 18 15.0 16.50  3030.62500  3030.68750  0.333    2 1
1940 04 18 18.0 19.50  3030.75000  3030.81250  0.333    2 1
1940 04 18 21.0 22.50  3030.87500  3030.93750  1.333    5 1
1940 04 19 00.0 01.50  3031.00000  3031.06250  2.333    9 1
1940 04 19 03.0 04.50  3031.12500  3031.18750  2.000    7 1
1940 04 19 06.0 07.50  3031.25000  3031.31250  1.333    5 1
1940 04 19 09.0 10.50  3031.37500  3031.43750  0.667    3 1
1940 04 19 12.0 13.50  3031.50000  3031.56250  1.667    6 1
1940 04 19 15.0 16.50  3031.62500  3031.68750  2.667   12 1
1940 04 19 18.0 19.50  3031.75000  3031.81250  1.333    5 1
1940 04 19 21.0 22.50  3031.87500  3031.93750  0.333    2 1
1940 04 20 00.0 01.50  3032.00000  3032.06250  0.333    2 1
1940 04 20 03.0 04.50  3032.12500  3032.18750  2.333    9 1
1940 04 20 06.0 07.50  3032.25000  3032.31250  3.333   18 1
1940 04 20 09.0 10.50  3032.37500  3032.43750  1.667    6 1
1940 04 20 12.0 13.50  3032.50000  3032.56250  2.667   12 1
1940 04 20 15.0 16.50  3032.62500  3032.68750  2.333    9 1
1940 04 20 18.0 19.50  3032.75000  3032.81250  2.667   12 1
1940 04 20 21.0 22.50  3032.87500  3032.93750  2.000    7 1
1940 04 21 00.0 01.50  3033.00000  3033.06250  3.667   22 1
1940 04 21 03.0 04.50  3033.12500  3033.18750  3.000   15 1
1940 04 21 06.0 07.50  3033.25000  3033.31250  2.667   12 1
1940 04 21 09.0 10.50  3033.37500  3033.43750  2.333    9 1
1940 04 21 12.0 13.50  3033.50000  3033.56250  1.667    6 1
1940 04 21 15.0 16.50  3033.62500  3033.68750  1.667    6 1
1940 04 21 18.0 19.50  3033.75000  3033.81250  2.000    7 1
1940 04 21 21.0 22.50  3033.87500  3033.93750  3.333   18 1
1940 04 22 00.0 01.50  3034.00000  3034.06250  3.000   15 1
1940 04 22 03.0 04.50  3034.12500  3034.18750  4.000   27 1
1940 04 22 06.0 07.50  3034.25000  3034.31250  4.667   39 1
1940 04 22 09.0 10.50  3034.37500  3034.43750  2.667   12 1
1940 04 22 12.0 13.50  3034.50000  3034.56250  3.000   15 1
1940 04 22 15.0 16.50  3034.62500  3034.68750  4.000   27 1
1940 04 22 18.0 19.50  3034.75000  3034.81250  2.000    7 1
1940 04 22 21.0 22.50  3034.87500  3034.93750  1.333    5 1
1940 04 23 00.0 01.50  3035.00000  3035.06250  3.000   15 1
1940 04 23 03.0 04.50  3035.12500  3035.18750  1.000    4 1
1940 04 23 06.0 07.50  3035.25000  3035.31250  0.667    3 1
1940 04 23 09.0 10.50  3035.37500  3035.43750  0.333    2 1
1940 04 23 12.0 13.50  3035.50000  3035.56250  3.000   15 1
1940 04 23 15.0 16.50  3035.62500  3035.68750  1.000    4 1
1940 04 23 18.0 19.50  3035.75000  3035.81250  2.000    7 1
1940 04 23 21.0 22.50  3035.87500  3035.93750  2.667   12 1
1940 04 24 00.0 01.50  3036.00000  3036.06250  3.667   22 1
1940 04 24 03.0 04.50  3036.12500  3036.18750  1.000    4 1
1940 04 24 06.0 07.50  3036.25000  3036.31250  0.667    3 1
1940 04 24 09.0 10.50  3036.37500  3036.43750  1.667    6 1
1940 04 24 12.0 13.50  3036.50000  3036.56250  3.000   15 1
1940 04 24 15.0 16.50  3036.62500  3036.68750  2.333    9 1
1940 04 24 18.0 19.50  3036.75000  3036.81250  1.000    4 1
1940 04 24 21.0 22.50  3036.87500  3036.93750  1.000    4 1
1940 04 25 00.0 01.50  3037.00000  3037.06250  4.667   39 1
1940 04 25 03.0 04.50  3037.12500  3037.18750  8.000  207 1
1940 04 25 06.0 07.50  3037.25000  3037.31250  4.000   27 1
1940 04 25 09.0 10.50  3037.37500  3037.43750  1.667    6 1
1940 04 25 12.0 13.50  3037.50000  3037.56250  2.333    9 1
1940 04 25 15.0 16.50  3037.62500  3037.68750  5.000   48 1
1940 04 25 18.0 19.50  3037.75000  3037.81250  6.667  111 1
1940 04 25 21.0 22.50  3037.87500  3037.93750  6.667  111 1
1940 04 26 00.0 01.50  3038.00000  3038.06250  7.000  132 1
1940 04 26 03.0 04.50  3038.12500  3038.18750  5.333   56 1
1940 04 26 06.0 07.50  3038.25000  3038.31250  4.667   39 1
1940 04 26 09.0 10.50  3038.37500  3038.43750  3.333   18 1
1940 04 26 12.0 13.50  3038.50000  3038.56250  3.667   22 1
1940 04 26 15.0 16.50  3038.62500  3038.68750  3.667   22 1
1940 04 26 18.0 19.50  3038.75000  3038.81250  4.667   39 1
1940 04 26 21.0 22.50  3038.87500  3038.93750  3.333   18 1
1940 04 27 00.0 01.50  3039.00000  3039.06250  3.667   22 1
1940 04 27 03.0 04.50  3039.12500  3039.18750  2.667   12 1
1940 04 27 06.0 07.50  3039.25000  3039.31250  2.000    7 1
1940 04 27 09.0 10.50  3039.37500  3039.43750  1.667    6 1
1940 04 27 12.0 13.50  3039.50000  3039.56250  2.333    9 1
1940 04 27 15.0 16.50  3039.62500  3039.68750  2.667   12 1
1940 04 27 18.0 19.50  3039.75000  3039.81250  2.000    7 1
1940 04 27 21.0 22.50  3039.87500  3039.93750  1.667    6 1
1940 04 28 00.0 01.50  3040.00000  3040.06250  2.667   12 1
1940 04 28 03.0 04.50  3040.12500  3040.18750  1.333    5 1
1940 04 28 06.0 07.50  3040.25000  3040.31250  1.333    5 1
1940 04 28 09.0 10.50  3040.37500  3040.43750  2.000    7 1
1940 04 28 12.0 13.50  3040.50000  3040.56250  2.333    9 1
1940 04 28 15.0 16.50  3040.62500  3040.68750  2.667   12 1
1940 04 28 18.0 19.50  3040.75000  3040.81250  1.333    5 1
1940 04 28 21.0 22.50  3040.87500  3040.93750  2.667   12 1
1940 04 29 00.0 01.50  3041.00000  3041.06250  4.000   27 1
1940 04 29 03.0 04.50  3041.12500  3041.18750  3.333   18 1
1940 04 29 06.0 07.50  3041.25000  3041.31250  2.333    9 1
1940 04 29 09.0 10.50  3041.37500  3041.43750  1.667    6 1
1940 04 29 12.0 13.50  3041.50000  3041.56250  2.000    7 1
1940 04 29 15.0 16.50  3041.62500  3041.68750  1.667    6 1
1940 04 29 18.0 19.50  3041.75000  3041.81250  1.333    5 1
1940 04 29 21.0 22.50  3041.87500  3041.93750  0.667    3 1
1940 04 30 00.0 01.50  3042.00000  3042.06250  0.667    3 1
1940 04 30 03.0 04.50  3042.12500  3042.18750  1.667    6 1
1940 04 30 06.0 07.50  3042.25000  3042.31250  1.667    6 1
1940 04 30 09.0 10.50  3042.37500  3042.43750  3.000   15 1
1940 04 30 12.0 13.50  3042.50000  3042.56250  3.000   15 1
1940 04 30 15.0 16.50  3042.62500  3042.68750  3.000   15 1
1940 04 30 18.0 19.50  3042.75000  3042.81250  3.333   18 1
1940 04 30 21.0 22.50  3042.87500  3042.93750  2.667   12 1
1940 05 01 00.0 01.50  3043.00000  3043.06250  2.000    7 1
1940 05 01 03.0 04.50  3043.12500  3043.18750  1.000    4 1
1940 05 01 06.0 07.50  3043.25000  3043.31250  1.667    6 1
1940 05 01 09.0 10.50  3043.37500  3043.43750  1.000    4 1
1940 05 01 12.0 13.50  3043.50000  3043.56250  2.000    7 1
1940 05 01 15.0 16.50  3043.62500  3043.68750  2.000    7 1
1940 05 01 18.0 19.50  3043.75000  3043.81250  3.000   15 1
1940 05 01 21.0 22.50  3043.87500  3043.93750  1.667    6 1
1940 05 02 00.0 01.50  3044.00000  3044.06250  1.667    6 1
1940 05 02 03.0 04.50  3044.12500  3044.18750  2.333    9 1
1940 05 02 06.0 07.50  3044.25000  3044.31250  1.333    5 1
1940 05 02 09.0 10.50  3044.37500  3044.43750  0.667    3 1
1940 05 02 12.0 13.50  3044.50000  3044.56250  0.667    3 1
1940 05 02 15.0 16.50  3044.62500  3044.68750  1.667    6 1
1940 05 02 18.0 19.50  3044.75000  3044.81250  0.667    3 1
1940 05 02 21.0 22.50  3044.87500  3044.93750  0.333    2 1
1940 05 03 00.0 01.50  3045.00000  3045.06250  1.667    6 1
1940 05 03 03.0 04.50  3045.12500  3045.18750  1.333    5 1
1940 05 03 06.0 07.50  3045.25000  3045.31250  2.333    9 1
1940 05 03 09.0 10.50  3045.37500  3045.43750  1.333    5 1
1940 05 03 12.0 13.50  3045.50000  3045.56250  1.333    5 1
1940 05 03 15.0 16.50  3045.62500  3045.68750  0.667    3 1
1940 05 03 18.0 19.50  3045.75000  3045.81250  0.667    3 1
1940 05 03 21.0 22.50  3045.87500  3045.93750  1.000    4 1
1940 05 04 00.0 01.50  3046.00000  3046.06250  2.333    9 1
1940 05 04 03.0 04.50  3046.12500  3046.18750  1.000    4 1
1940 05 04 06.0 07.50  3046.25000  3046.31250  1.667    6 1
1940 05 04 09.0 10.50  3046.37500  3046.43750  0.333    2 1
1940 05 04 12.0 13.50  3046.50000  3046.56250  0.333    2 1
1940 05 04 15.0 16.50  3046.62500  3046.68750  0.667    3 1
1940 05 04 18.0 19.50  3046.75000  3046.81250  0.333    2 1
1940 05 04 21.0 22.50  3046.87500  3046.93750  1.667    6 1
1940 05 05 00.0 01.50  3047.00000  3047.06250  1.667    6 1
1940 05 05 03.0 04.50  3047.12500  3047.18750  1.333    5 1
1940 05 05 06.0 07.50  3047.25000  3047.31250  1.667    6 1
1940 05 05 09.0 10.50  3047.37500  3047.43750  2.000    7 1
1940 05 05 12.0 13.50  3047.50000  3047.56250  1.333    5 1
1940 05 05 15.0 16.50  3047.62500  3047.68750  0.667    3 1
1940 05 05 18.0 19.50  3047.75000  3047.81250  1.667    6 1
1940 05 05 21.0 22.50  3047.87500  3047.93750  1.000    4 1
1940 05 06 00.0 01.50  3048.00000  3048.06250  0.333    2 1
1940 05 06 03.0 04.50  3048.12500  3048.18750  0.333    2 1
1940 05 06 06.0 07.50  3048.25000  3048.31250  0.333    2 1
1940 05 06 09.0 10.50  3048.37500  3048.43750  0.000    0 1
1940 05 06 12.0 13.50  3048.50000  3048.56250  0.333    2 1
1940 05 06 15.0 16.50  3048.62500  3048.68750  0.333    2 1
1940 05 06 18.0 19.50  3048.75000  3048.81250  0.000    0 1
1940 05 06 21.0 22.50  3048.87500  3048.93750  0.000    0 1
1940 05 07 00.0 01.50  3049.00000  3049.06250  1.000    4 1
1940 05 07 03.0 04.50  3049.12500  3049.18750  2.333    9 1
1940 05 07 06.0 07.50  3049.25000  3049.31250  2.333    9 1
1940 05 07 09.0 10.50  3049.37500  3049.43750  1.333    5 1
1940 05 07 12.0 13.50  3049.50000  3049.56250  1.000    4 1
1940 05 07 15.0 16.50  3049.62500  3049.68750  1.333    5 1
1940 05 07 18.0 19.50  3049.75000  3049.81250  1.333    5 1
1940 05 07 21.0 22.50  3049.87500  3049.93750  1.000    4 1
1940 05 08 00.0 01.50  3050.00000  3050.06250  1.667    6 1
1940 05 08 03.0 04.50  3050.12500  3050.18750  2.000    7 1
1940 05 08 06.0 07.50  3050.25000  3050.31250  0.333    2 1
1940 05 08 09.0 10.50  3050.37500  3050.43750  0.333    2 1
1940 05 08 12.0 13.50  3050.50000  3050.56250  1.333    5 1
1940 05 08 15.0 16.50  3050.62500  3050.68750  0.667    3 1
1940 05 08 18.0 19.50  3050.75000  3050.81250  0.667    3 1
1940 05 08 21.0 22.50  3050.87500  3050.93750  1.000    4 1
1940 05 09 00.0 01.50  3051.00000  3051.06250  2.333    9 1
1940 05 09 03.0 04.50  3051.12500  3051.18750  3.667   22 1
1940 05 09 06.0 07.50  3051.25000  3051.31250  1.667    6 1
1940 05 09 09.0 10.50  3051.37500  3051.43750  1.667    6 1
1940 05 09 12.0 13.50  3051.50000  3051.56250  3.000   15 1
1940 05 09 15.0 16.50  3051.62500  3051.68750  2.667   12 1
1940 05 09 18.0 19.50  3051.75000  3051.81250  1.333    5 1
1940 05 09 21.0 22.50  3051.87500  3051.93750  1.333    5 1
1940 05 10 00.0 01.50  3052.00000  3052.06250  1.000    4 1
1940 05 10 03.0 04.50  3052.12500  3052.18750  2.667   12 1
1940 05 10 06.0 07.50  3052.25000  3052.31250  2.667   12 1
1940 05 10 09.0 10.50  3052.37500  3052.43750  2.667   12 1
1940 05 10 12.0 13.50  3052.50000  3052.56250  2.667   12 1
1940 05 10 15.0 16.50  3052.62500  3052.68750  3.000   15 1
